Game,Viewers,Percentage
Other Games,640555,27.40%
Just Chatting,223138,9.60%
Leauge of Legends,206613,8.90%
Escape From Tarkov,167422,7.20%
Fortnite,155667,6.70%
The Last of Us Part II,152807,6.50%
Grand Theft Auto V,140287,6%
CS: GO,120856,5.20%
Call of Duty: Modern Warfare,113609,4.90%
VALORANT,57154,2.40%
Dota 2,56847,2.40%
Minecraft,49706,2.10%
Apex Legends,41853,1.80%
World of Warcraft,41407,1.80%
Path of Exile,38980,1.70%
Hearthstone,29526,1.30%
FIFA 20,27977,1.20%
Music & Performing Arts,25548,1.10%
Overwatch,22330,1%
Dead by Daylight,21945,0.90%
